"Time","sensor-readings.difference"
1675652400000,0
1675653300000,0
1675654200000,0
1675655100000,0
1675656000000,0
1675656900000,0
1675657800000,0
1675658700000,0
1675659600000,0
1675660500000,0
1675661400000,0
1675662300000,0
1675663200000,0
1675664100000,0
1675665000000,0
1675665900000,0
1675666800000,0
1675667700000,0
1675668600000,0
1675669500000,0
1675670400000,0
1675671300000,0
1675672200000,0
1675673100000,0
1675674000000,0
1675674900000,0
1675675800000,0
1675676700000,0
1675677600000,0
1675678500000,0
1675679400000,0
1675680300000,0
1675681200000,21.900390625
1675682100000,0
1675683000000,0
1675683900000,0
1675684800000,0
1675685700000,0
1675686600000,0
1675687500000,0
1675688400000,0
1675689300000,0
1675690200000,0
1675691100000,0
1675692000000,0
1675692900000,0
1675693800000,0
1675694700000,0
1675695600000,0
1675696500000,0
1675697400000,0
1675698300000,0
1675699200000,0
1675700100000,0
1675701000000,0
1675701900000,0
1675702800000,0
1675703700000,0
1675704600000,0
1675705500000,0
1675706400000,0
1675707300000,0
1675708200000,0
1675709100000,0
1675710000000,0
1675710900000,0
1675711800000,0
1675712700000,0
1675713600000,0
1675714500000,0
1675715400000,0
1675716300000,0
1675717200000,0
1675718100000,0
1675719000000,0
1675719900000,0
1675720800000,0
1675721700000,0
1675722600000,0
1675723500000,0
1675724400000,0
1675725300000,0
1675726200000,0
1675727100000,0
1675728000000,0
1675728900000,0
1675729800000,0
1675730700000,0
1675731600000,0
1675732500000,0
1675733400000,0
1675734300000,0
1675735200000,0
1675736100000,0
1675737000000,0
1675737900000,0
1675738800000,0
1675739700000,0
1675740600000,0
1675741500000,0
1675742400000,0
1675743300000,0
1675744200000,0
1675745100000,0
1675746000000,0
1675746900000,0
1675747800000,0
1675748700000,0
1675749600000,0
1675750500000,0
1675751400000,44.900390625
1675752300000,0
1675753200000,0
1675754100000,0
1675755000000,0
1675755900000,0
1675756800000,0
1675757700000,0
1675758600000,0
1675759500000,0
1675760400000,0
1675761300000,0
1675762200000,0
1675763100000,0
1675764000000,0
1675764900000,0
1675765800000,0
1675766700000,0
1675767600000,0
1675768500000,0
1675769400000,0
1675770300000,0
1675771200000,0
1675772100000,0
1675773000000,0
1675773900000,0
1675774800000,0
1675775700000,0
1675776600000,0
1675777500000,0
1675778400000,0
1675779300000,0
1675780200000,0
1675781100000,0
1675782000000,0
1675782900000,0
1675783800000,0
1675784700000,0
1675785600000,0
1675786500000,0
1675787400000,0
1675788300000,0
1675789200000,0
1675790100000,0
1675791000000,0
1675791900000,0
1675792800000,0
1675793700000,26.099609375
1675794600000,0
1675795500000,0
1675796400000,0
1675797300000,0
1675798200000,0
1675799100000,0
1675800000000,0
1675800900000,0
1675801800000,0
1675802700000,0
1675803600000,5.30078125
1675804500000,0
1675805400000,0
1675806300000,0
1675807200000,0
1675808100000,0
1675809000000,0
1675809900000,0
1675810800000,0
1675811700000,0
1675812600000,0
1675813500000,0
1675814400000,0
1675815300000,0
1675816200000,0
1675817100000,0
1675818000000,0
1675818900000,0
1675819800000,0
1675820700000,0
1675821600000,0
1675822500000,0
1675823400000,0
1675824300000,0
1675825200000,0
1675826100000,0
1675827000000,0
1675827900000,0
1675828800000,0
1675829700000,0
1675830600000,0
1675831500000,0
1675832400000,0
1675833300000,0
1675834200000,0
1675835100000,0
1675836000000,0
1675836900000,0
1675837800000,0
1675838700000,0
1675839600000,0
1675840500000,0
1675841400000,0
1675842300000,0
1675843200000,0
1675844100000,0
1675845000000,0
1675845900000,0
1675846800000,0
1675847700000,0
1675848600000,0
1675849500000,0
1675850400000,0
1675851300000,0
1675852200000,0
1675853100000,0
1675854000000,0
1675854900000,0
1675855800000,0
1675856700000,0
1675857600000,0
1675858500000,0
1675859400000,0
1675860300000,0
1675861200000,0
1675862100000,0
1675863000000,0
1675863900000,0
1675864800000,0
1675865700000,0
1675866600000,-27896.900780677795
1675867500000,0
1675868400000,0
1675869300000,0
1675870200000,0
1675871100000,0
1675872000000,0
1675872900000,0
1675873800000,0
1675874700000,0
1675875600000,0
1675876500000,0
1675877400000,0
1675878300000,0
1675879200000,0
1675880100000,7.099999427795
1675881000000,0
1675881900000,0
1675882800000,1.5
1675883700000,0
1675884600000,0
1675885500000,0
1675886400000,0
1675887300000,0
1675888200000,0
1675889100000,0
1675890000000,0
1675890900000,0
1675891800000,0
1675892700000,0
1675893600000,0
1675894500000,0
1675895400000,0
1675896300000,0
1675897200000,0
1675898100000,0
1675899000000,8.700000762938998
1675899900000,0
1675900800000,0
1675901700000,0
1675902600000,0
1675903500000,0
1675904400000,0
1675905300000,0
1675906200000,0
1675907100000,0
1675908000000,0
1675908900000,0
1675909800000,0
1675910700000,0
1675911600000,0
1675912500000,0
1675913400000,0
1675914300000,0
1675915200000,0
1675916100000,0
1675917000000,0
1675917900000,0
1675918800000,0
1675919700000,0
1675920600000,0
1675921500000,0
1675922400000,0
1675923300000,0
1675924200000,0
1675925100000,0
1675926000000,0
1675926900000,0
1675927800000,0
1675928700000,0
1675929600000,0
1675930500000,0
1675931400000,0
1675932300000,0
1675933200000,0
1675934100000,0
1675935000000,0
1675935900000,0
1675936800000,0
1675937700000,0
1675938600000,0
1675939500000,0
1675940400000,29.299999237061
1675941300000,0
1675942200000,0
1675943100000,0
1675944000000,1.7000007629389984
1675944900000,0
1675945800000,0
1675946700000,0
1675947600000,0
1675948500000,0
1675949400000,0
1675950300000,0
1675951200000,0
1675952100000,0
1675953000000,0
