time,energy,dew_point,enth,rel_hum,temp,lab_P051_binary,lab_P015_binary,lab_P011_binary,lab_251102_binary,WorkDay,day_of_week,month,year,hour,day,day_of_year,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,month_sin,month_cos
2022-11-10 22:00:00,1607.0,6.02767205897075,29.517971825986635,90.60732136571629,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,22,10,314,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384
2022-11-10 23:00:00,1510.0,6.02767205897075,29.517971825986635,90.50172474480817,13.039443116804229,0.0,0.0,0.0,0.0,1,3,11,2022,23,10,314,0.43388373911755823,-0.900968867902419,-0.25881904510252157,0.9659258262890681,-0.5000000000000004,0.8660254037844384
2022-11-11 00:00:00,1464.0,6.02767205897075,29.517971825986635,90.39612812390004,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,0,11,315,-0.433883739117558,-0.9009688679024191,0.0,1.0,-0.5000000000000004,0.8660254037844384
2022-11-11 01:00:00,1498.0,6.02767205897075,29.517971825986635,90.29053150299191,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,1,11,315,-0.433883739117558,-0.9009688679024191,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384
2022-11-11 02:00:00,1503.0,6.02767205897075,29.517971825986635,90.18493488208378,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,2,11,315,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,-0.5000000000000004,0.8660254037844384
2022-11-11 03:00:00,1503.0,6.02767205897075,29.517971825986635,90.07933826117565,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,3,11,315,-0.433883739117558,-0.9009688679024191,0.7071067811865476,0.7071067811865476,-0.5000000000000004,0.8660254037844384
2022-11-11 04:00:00,1510.0,6.02767205897075,29.517971825986635,89.97374164026752,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,4,11,315,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
2022-11-11 05:00:00,1729.0,6.02767205897075,29.517971825986635,89.86814501935939,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,5,11,315,-0.433883739117558,-0.9009688679024191,0.9659258262890683,0.25881904510252074,-0.5000000000000004,0.8660254037844384
2022-11-11 06:00:00,1530.0,6.02767205897075,29.517971825986635,89.76254839845124,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,6,11,315,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,-0.5000000000000004,0.8660254037844384
2022-11-11 07:00:00,1788.0,6.02767205897075,29.517971825986635,89.65695177754313,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,7,11,315,-0.433883739117558,-0.9009688679024191,0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
2022-11-11 08:00:00,1998.0,6.02767205897075,29.517971825986635,89.551355156635,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,8,11,315,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384
2022-11-11 09:00:00,2531.0,6.02767205897075,29.517971825986635,89.44575853572685,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,9,11,315,-0.433883739117558,-0.9009688679024191,0.7071067811865476,-0.7071067811865475,-0.5000000000000004,0.8660254037844384
2022-11-11 10:00:00,2712.0,6.02767205897075,29.517971825986635,89.34016191481874,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,10,11,315,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,-0.5000000000000004,0.8660254037844384
2022-11-11 11:00:00,2712.0,6.02767205897075,29.517971825986635,89.2345652939106,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,11,11,315,-0.433883739117558,-0.9009688679024191,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384
2022-11-11 12:00:00,2245.0,6.02767205897075,29.517971825986635,89.12896867300246,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,12,11,315,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384
2022-11-11 13:00:00,2066.0,6.02767205897075,29.517971825986635,89.02337205209435,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,13,11,315,-0.433883739117558,-0.9009688679024191,-0.2588190451025208,-0.9659258262890683,-0.5000000000000004,0.8660254037844384
2022-11-11 14:00:00,1772.0,6.02767205897075,29.517971825986635,88.9177754311862,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,14,11,315,-0.433883739117558,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,-0.5000000000000004,0.8660254037844384
2022-11-11 15:00:00,1829.0,6.02767205897075,29.517971825986635,88.81217881027807,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,15,11,315,-0.433883739117558,-0.9009688679024191,-0.7071067811865471,-0.7071067811865479,-0.5000000000000004,0.8660254037844384
2022-11-11 16:00:00,2068.0,6.02767205897075,29.517971825986635,88.70658218936995,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,16,11,315,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384
2022-11-11 17:00:00,2003.0,6.02767205897075,29.517971825986635,88.60098556846181,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,17,11,315,-0.433883739117558,-0.9009688679024191,-0.9659258262890683,-0.25881904510252063,-0.5000000000000004,0.8660254037844384
2022-11-11 18:00:00,1876.0,6.02767205897075,29.517971825986635,88.49538894755368,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,18,11,315,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,-0.5000000000000004,0.8660254037844384
2022-11-11 19:00:00,1763.0,6.02767205897075,29.517971825986635,88.38979232664556,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,19,11,315,-0.433883739117558,-0.9009688679024191,-0.9659258262890684,0.2588190451025203,-0.5000000000000004,0.8660254037844384
2022-11-11 20:00:00,1678.0,6.02767205897075,29.517971825986635,88.28419570573742,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,20,11,315,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
2022-11-11 21:00:00,1675.0,6.02767205897075,29.517971825986635,88.1785990848293,13.039443116804229,0.0,0.0,0.0,0.0,1,4,11,2022,21,11,315,-0.433883739117558,-0.9009688679024191,-0.7071067811865477,0.7071067811865474,-0.5000000000000004,0.8660254037844384
